RA (J2000),Dec (J2000)
19 30 59.294,+42 22 47.75
19 34 53.486,+42 23 20.00
19 36 02.290,+42 19 30.40
19 52 12.888,+42 19 04.37
19 54 00.005,+42 22 01.63
18 46 45.108,+42 29 55.93
19 07 56.277,+42 26 11.22
19 11 00.506,+42 26 28.28
19 13 49.469,+42 29 31.27
19 15 18.804,+42 26 19.21
19 22 35.024,+42 25 57.03
19 23 02.098,+42 24 59.26
19 23 16.975,+42 27 09.90
19 24 03.660,+42 27 35.50
19 24 50.033,+42 26 55.25
19 30 08.813,+42 25 44.29
19 32 53.210,+42 27 40.57
19 35 08.628,+42 24 40.32
19 35 24.306,+42 27 14.92
18 46 24.420,+42 31 29.17
18 50 55.594,+42 32 50.86
19 08 36.730,+42 32 11.36
19 09 07.167,+42 30 47.38
19 10 12.643,+42 33 03.20
19 10 26.681,+42 33 37.04
19 11 43.354,+42 30 13.03
19 25 00.314,+42 30 27.72
19 31 01.507,+42 31 26.72
19 31 03.583,+42 31 16.43
19 42 48.787,+42 32 18.20
19 46 21.821,+42 34 59.48
19 48 28.781,+42 35 53.59
18 48 14.717,+42 41 44.34
19 03 29.935,+42 36 34.49
19 04 51.230,+42 37 56.96
19 09 58.425,+42 37 18.05
19 11 00.996,+42 41 21.12
19 14 29.090,+42 41 39.91
19 23 39.780,+42 36 05.65
19 29 27.780,+42 39 50.54
19 33 44.647,+42 37 07.61
19 35 06.528,+42 41 52.04
18 42 53.878,+42 47 14.24
18 47 22.980,+42 43 06.60
18 53 04.534,+42 43 02.86
19 29 45.108,+42 45 19.15
19 32 28.298,+42 46 50.66
19 45 19.673,+42 43 10.63
19 47 19.154,+42 43 38.42
19 15 16.889,+42 52 23.48
19 29 53.208,+42 50 16.55
19 44 45.835,+42 51 26.32
19 49 36.062,+42 51 30.46
19 50 56.604,+42 49 13.98
18 54 16.955,+42 59 00.38
19 05 07.584,+42 56 23.64
19 11 13.546,+42 56 07.98
19 12 25.380,+42 58 43.64
19 12 29.573,+42 58 02.32
19 14 47.983,+42 56 22.49
19 33 31.245,+42 54 50.65
19 34 02.222,+42 58 39.11
19 35 44.851,+42 57 41.62
19 40 14.602,+42 56 54.13
19 43 25.137,+42 58 40.58
19 45 53.395,+42 57 50.69
19 48 22.539,+42 56 11.90
19 52 43.632,+42 57 50.62
19 01 34.874,+43 00 15.34
19 04 07.363,+43 01 11.89
19 04 47.050,+43 05 31.81
19 09 34.942,+43 04 31.15
19 10 12.878,+43 05 07.84
19 13 23.748,+43 04 04.01
19 27 14.580,+43 01 09.19
19 43 40.044,+43 02 17.38
19 04 53.772,+43 07 44.08
19 06 32.314,+43 09 04.36
19 11 13.733,+43 11 19.61
19 11 36.686,+43 08 31.34
19 11 46.567,+43 11 28.07
19 15 18.118,+43 09 39.82
19 30 29.765,+43 10 00.77
19 32 19.205,+43 10 31.84
19 32 50.258,+43 06 36.61
19 33 00.094,+43 08 40.74
19 39 43.862,+43 08 44.66
19 40 15.312,+43 07 33.56
19 40 17.734,+43 07 43.43
19 42 18.363,+43 11 25.17
19 44 28.990,+43 10 00.80
19 47 32.880,+43 07 47.42
19 48 43.510,+43 07 34.86
19 48 44.767,+43 10 32.09
19 49 32.362,+43 07 39.54
19 51 14.400,+43 08 36.92
19 51 17.122,+43 11 43.40
18 47 35.575,+43 15 01.15
19 08 53.275,+43 14 32.50
19 24 02.237,+43 14 57.84
19 30 01.426,+43 17 59.93
19 33 27.403,+43 16 28.56
19 44 12.271,+43 14 31.92
19 48 00.972,+43 17 16.33
19 49 54.137,+43 12 19.76
19 01 26.079,+43 18 04.75
19 04 46.178,+43 18 57.78
19 09 03.864,+43 22 40.40
19 25 24.797,+43 23 41.86
19 32 38.256,+43 19 31.08
19 40 31.675,+43 20 50.89
19 42 09.290,+43 23 37.43
19 46 20.830,+43 22 35.98
18 43 33.137,+43 24 06.12
18 46 46.697,+43 27 24.08
19 09 00.166,+43 28 40.62
19 13 06.300,+43 28 19.27
19 13 07.582,+43 24 57.85
19 19 39.756,+43 28 35.65
19 24 32.397,+43 29 46.75
19 43 44.433,+43 28 41.56
19 44 26.592,+43 27 06.30
19 45 48.175,+43 26 46.79
19 46 55.965,+43 25 22.44
19 47 14.280,+43 27 03.06
19 48 33.110,+43 27 04.25
19 50 06.537,+43 29 05.86
19 51 08.366,+43 25 57.94
19 51 13.762,+43 27 43.02
18 44 26.818,+43 32 42.14
18 49 28.298,+43 32 14.57
18 49 53.959,+43 30 42.16
18 50 21.144,+43 31 52.93
18 51 07.889,+43 33 58.03
18 53 00.259,+43 35 04.24
18 59 09.473,+43 33 49.50
19 08 56.655,+43 31 04.22
19 09 33.192,+43 33 20.63
19 18 46.498,+43 35 40.67
19 38 59.613,+43 33 52.60
19 48 57.768,+43 33 46.19
19 51 35.698,+43 31 10.06
19 51 36.233,+43 32 21.52
19 56 52.279,+43 30 14.83
18 41 39.434,+43 37 11.86
18 42 41.026,+43 38 46.18
18 47 16.260,+43 41 20.22
19 08 01.865,+43 40 39.86
19 08 28.740,+43 37 37.52
19 12 33.938,+43 41 08.88
19 13 05.042,+43 36 34.09
19 37 40.274,+43 41 04.60
19 42 08.856,+43 39 49.61
19 50 50.679,+43 40 22.80
19 58 36.146,+43 41 46.64
18 50 40.980,+43 45 17.86
19 09 08.527,+43 44 28.36
19 10 23.105,+43 45 48.46
19 11 49.399,+43 44 32.60
19 12 14.726,+43 44 44.95
19 22 05.347,+43 46 07.28
19 48 20.873,+43 45 25.60
19 54 45.302,+43 44 48.62
18 39 43.783,+43 49 28.88
18 50 22.510,+43 48 13.21
18 52 50.431,+43 49 42.28
19 00 51.422,+43 51 10.87
19 11 32.467,+43 48 53.68
19 13 43.757,+43 51 07.09
19 19 32.009,+43 51 24.08
19 20 09.019,+43 52 34.07
19 22 54.660,+43 49 05.70
19 23 39.631,+43 51 58.54
19 41 26.858,+43 52 59.74
19 54 52.128,+43 51 27.86
18 47 49.097,+43 58 50.20
19 06 50.376,+43 56 29.65
